,Unnamed: 0,AB,Age,BB,from,G,H,HR,OPS,PA,R,SB,SO,to,WAR,experience,names,Zero,Year_difference
12778,12778,7,30.247,0,2003,6,1,0,0.28600000000000003,7,0,0,2,2003,-0.1,1,Mike Glavine,0,0
12780,12780,19,26.145,1,2003,12,3,0,0.396,21,1,0,8,2003,-0.1,1,Tom Gregorio,0,0
12784,12784,6,22.281999999999996,0,2003,6,1,0,0.33299999999999996,7,2,0,2,2003,0.0,1,Josh Hall,0,0
12787,12787,0,27.118000000000002,0,2003,2,0,0,,0,0,0,0,2003,0.0,1,Bryan Hebson,0,0
12789,12789,9,23.226999999999997,0,2002,8,1,0,0.222,9,3,0,3,2003,-0.1,2,Drew Henson,0,1
12790,12790,0,23.256999999999998,0,2002,0,0,0,,0,0,0,0,2003,0.0,2,Alex Herrera,0,1
12791,12791,0,25.264,0,2002,1,0,0,,0,0,0,0,2003,0.0,2,Jeremy Hill,0,1
12792,12792,8,25.09,0,2002,53,0,0,0.0,9,0,0,6,2003,-0.1,2,Trey Hodges,0,1
12798,12798,2,24.078000000000003,0,2001,1,0,0,0.0,2,0,0,0,2003,0.0,2,Adam Johnson,0,2
12799,12799,8,27.191,1,2003,5,3,0,0.9440000000000001,9,1,0,1,2003,0.1,1,Gary Johnson,0,0
12801,12801,3,26.128,0,2003,8,1,0,0.667,3,3,0,2,2003,-0.1,1,Rontrez Johnson,0,0
12802,12802,107,26.346,10,2003,40,23,3,0.653,121,11,0,21,2003,-0.2,1,Jason Jones,0,0
12804,12804,3,26.125999999999998,0,2002,10,0,0,0.0,3,0,0,0,2003,0.0,2,Eric Junge,0,1
12808,12808,6,28.337,0,2001,16,0,0,0.0,6,0,0,3,2003,-0.1,2,Eric Knott,0,2
12809,12809,8,28.136,0,2003,6,1,0,0.375,8,0,0,6,2003,0.0,1,Graham Koonce,0,0
12811,12811,88,30.316999999999997,8,2000,39,23,0,0.6890000000000001,100,16,1,11,2003,-0.1,3,Greg LaRocca,0,3
12813,12813,38,25.316,1,2000,52,2,0,0.128,46,1,0,17,2003,-0.4,3,Allen Levrault,0,3
12818,12818,0,27.021,0,2003,0,0,0,,0,0,0,0,2003,0.0,1,Aaron Looper,0,0
12821,12821,4,24.024,0,2002,4,2,0,1.25,4,0,0,1,2003,0.1,2,Trey Lunsford,0,1
12823,12823,1,28.256999999999998,0,2000,23,0,0,0.0,1,0,0,1,2003,0.0,4,Jim Mann,0,3
12824,12824,1,30.36,0,2003,2,0,0,0.0,1,0,0,1,2003,0.0,1,David Manning,0,0
12826,12826,4,23.250999999999998,0,2003,4,0,0,0.0,4,0,0,3,2003,-0.1,1,Luis Martinez,0,0
12827,12827,242,28.29,10,2002,104,59,4,0.588,259,26,2,45,2003,-0.5,2,Julius Matos,0,1
12828,12828,0,25.250999999999998,0,2003,0,0,0,,0,0,0,0,2003,0.0,1,Chris Mears,0,0
12830,12830,45,29.101999999999997,0,2003,26,10,0,0.484,46,3,0,12,2003,-0.2,1,Carlos Mendez,0,0
12831,12831,202,25.029,12,2001,72,37,3,0.523,221,21,2,69,2003,-1.4,2,Donaldo Mendez,0,2
12832,12832,9,29.073,0,2000,105,1,0,0.222,9,0,0,4,2003,0.0,4,Hector Mercado,0,3
12836,12836,0,27.19,0,2001,0,0,0,,0,0,0,0,2003,0.0,2,Bart Miadich,0,2
12837,12837,18,27.323,1,2001,22,3,0,0.377,20,2,0,9,2003,0.0,3,Jason Middlebrook,0,2
12839,12839,71,23.361,3,2003,61,10,2,0.41200000000000003,77,14,8,21,2003,-0.5,1,Jose Morban,0,0
12841,12841,2,28.226,0,2003,1,0,0,0.0,2,0,0,1,2003,-0.1,1,Tony Mounce,0,0
12842,12842,1,28.198,0,2000,7,0,0,0.0,1,0,0,1,2003,0.0,4,Scott Mullen,0,3
12846,12846,1,32.001999999999995,0,2003,2,1,0,2.0,1,0,0,0,2003,0.1,1,Kevin Ohme,0,0
12847,12847,15,27.063000000000002,0,2001,24,1,0,0.133,16,0,0,10,2003,-0.1,3,Kevin Olsen,0,2
12856,12856,63,30.021,3,2001,26,15,2,0.675,68,9,0,10,2003,-0.2,2,Jarrod Patterson,0,2
12857,12857,0,27.234,0,2002,3,0,0,,0,0,0,0,2003,0.0,2,Jason Pearson,0,1
12861,12861,521,27.226999999999997,57,2000,212,129,16,0.745,588,62,3,149,2003,0.0,4,Adam Piatt,0,3
12865,12865,98,24.266,2,2000,64,15,0,0.32299999999999995,109,5,0,44,2003,-0.2,4,Ruben Quevedo,0,3
12867,12867,1,25.253,0,2003,1,0,0,0.0,1,0,0,1,2003,0.0,1,Mario Ramos,0,0
12868,12868,4,27.334,0,2003,15,1,0,0.5,4,0,0,1,2003,0.0,1,Scott Randall,0,0
12870,12870,24,24.035999999999998,1,2003,15,3,1,0.484,27,3,2,9,2003,-0.5,1,Prentice Redman,0,0
